,image_id,census_tract_id
611,57911,17031611600.0
612,50261,17031491000.0
613,11504,17031710100.0
614,33712,17031351100.0
615,36469,17031560100.0
616,41657,17031670400.0
617,23080,17031710500.0
618,51627,17031360200.0
619,33767,17031380100.0
620,12540,17031231500.0
621,34875,17031251100.0
622,34120,17031252000.0
623,19688,17031260300.0
624,54532,17031251000.0
625,19233,17031420700.0
626,33798,17031420600.0
627,19816,17031301600.0
628,8006,17031430101.0
629,2366,17031440202.0
630,20596,17031390400.0
631,44714,17031843400.0
632,53893,17031843500.0
633,3885,17031842500.0
634,38988,17031834700.0
635,51296,17031835000.0
636,9201,17031842900.0
637,43513,17031843000.0
638,4371,17031381500.0
639,54656,17031838100.0
640,9995,17031838000.0
641,39437,17031843800.0
642,36845,17031831400.0
643,52770,17031837000.0
644,52039,17031010503.0
645,127,17031291200.0
646,16985,17031630400.0
647,43732,17031280800.0
648,45804,17031271400.0
649,58271,17031611900.0
650,42616,17031630900.0
651,44798,17031834600.0
652,11814,17031540102.0
653,36157,17031540101.0
654,11315,17031440201.0
655,19474,17031834400.0
656,49494,17031838700.0
657,58424,17031841500.0
658,52716,17031837300.0
659,12149,17031843300.0
660,6910,17031291200.0
661,32425,17031833900.0
662,38722,17031838800.0
663,26619,17031340600.0
664,59578,17031300800.0
665,24788,17031230500.0
666,40706,17031670100.0
667,2526,17031671600.0
668,26170,17031671300.0
669,17005,17031671100.0
670,46771,17031670900.0
671,9282,17031670800.0
672,9945,17031670700.0
673,23462,17031670600.0
674,19345,17031670500.0
675,10556,17031301100.0
676,46978,17031500200.0
677,31246,17031491400.0
678,42220,17031510300.0
679,56613,17031440101.0
680,13676,17031660301.0
681,56011,17031834000.0
682,56422,17031835500.0
683,47822,17031841700.0
684,38114,17031836100.0
685,57315,17031836400.0
686,37235,17031836800.0
687,52123,17031835600.0
688,59726,17031530100.0
689,17664,17031490901.0
690,16960,17031300900.0
691,12245,17031460302.0
692,53823,17031431302.0
693,11588,17031431301.0
694,52369,17031460301.0
695,3090,17031630400.0
696,18219,17031280800.0
697,24810,17031271400.0
698,20873,17031690900.0
699,55445,17031690400.0
700,23420,17031681300.0
701,31686,17031461000.0
702,50346,17031460200.0
703,1385,17031691500.0
704,18075,17031691200.0
705,42715,17031691100.0
706,32144,17031710800.0
707,36243,17031681200.0
708,10895,17031420500.0
709,50482,17031420400.0
710,44983,17031420100.0
711,1936,17031351400.0
712,43367,17031410600.0
713,58793,17031681000.0
714,17474,17031680900.0
715,21546,17031430200.0
716,8938,17031670200.0
717,8650,17031670300.0
718,18930,17031390300.0
719,29246,17031400400.0
720,22527,17031400500.0
721,41850,17031611600.0
722,59827,17031400800.0
723,27150,17031681100.0
724,41984,17031430300.0
725,60119,17031430700.0
726,21156,17031420200.0
727,12605,17031420300.0
728,26976,17031440800.0
729,17818,17031680500.0
730,46268,17031350400.0
731,57823,17031491000.0
732,1384,17031351100.0
733,6623,17031611900.0
734,9291,17031271400.0
735,40176,17031280800.0
736,18037,17031630400.0
737,6212,17031291200.0
738,20349,17031612100.0
739,42874,17031611700.0
740,478,17031271300.0
741,12787,17031290900.0
742,50027,17031271200.0
743,17736,17031610300.0
744,1337,17031270500.0
745,14828,17031260900.0
746,14356,17031251800.0
747,36152,17031251600.0
748,20087,17031611200.0
749,22501,17031260700.0
750,29256,17031560100.0
751,3855,17031710500.0
752,17861,17031251000.0
753,10967,17031360200.0
754,40724,17031380100.0
755,33817,17031231500.0
756,35531,17031710100.0
757,16726,17031251100.0
758,5010,17031260300.0
759,5885,17031380200.0
760,21630,17031031200.0
761,11764,17031491300.0
762,56380,17031251400.0
763,31289,17031251900.0
764,32724,17031252000.0
765,39355,17031612100.0
766,37716,17031340300.0
767,46508,17031660700.0
768,40084,17031838800.0
769,34895,17031836800.0
770,32000,17031833900.0
771,11073,17031834600.0
772,32092,17031430101.0
773,29548,17031440202.0
774,11959,17031390400.0
775,16941,17031843400.0
776,32756,17031843500.0
777,25585,17031842500.0
778,12765,17031834700.0
779,3140,17031835000.0
780,28353,17031842900.0
781,25743,17031843000.0
782,34153,17031381500.0
783,33976,17031838100.0
784,27963,17031838000.0
785,2233,17031611900.0
786,41387,17031630900.0
787,23753,17031540102.0
788,9882,17031843300.0
789,37032,17031540101.0
790,8974,17031440201.0
791,22453,17031660301.0
792,21297,17031834400.0
793,15171,17031841500.0
794,10823,17031837300.0
795,12724,17031010503.0
796,27204,17031837000.0
797,20397,17031831400.0
798,19631,17031843800.0
799,9200,17031838700.0
800,56675,17031340500.0
801,37980,17031834000.0
802,9930,17031841700.0
803,2163,17031670400.0
804,28134,17031420700.0
805,7858,17031420600.0
806,58495,17031301600.0
807,39519,17031340600.0
808,46659,17031300800.0
809,2567,17031230500.0
810,18277,17031670100.0
811,50307,17031671600.0
812,28953,17031671300.0
813,16324,17031671100.0
814,9090,17031670900.0
815,34482,17031670800.0
816,52618,17031670700.0
817,15504,17031670600.0
818,876,17031670500.0
819,32705,17031301100.0
820,54073,17031836100.0
821,31523,17031836400.0
822,30767,17031835600.0
823,4258,17031460301.0
824,58567,17031530100.0
825,40708,17031490901.0
826,22571,17031835500.0
827,26050,17031300900.0
828,43363,17031431302.0
829,25539,17031431301.0
830,57336,17031440101.0
831,20270,17031510300.0
832,51223,17031491400.0
833,33,17031500200.0
834,44516,17031460302.0
835,38003,17031611700.0
836,25818,17031271300.0
837,47397,17031290900.0
838,46761,17031410600.0
839,4951,17031681000.0
840,55657,17031680900.0
841,20490,17031440800.0
842,32380,17031420300.0
843,162,17031420200.0
844,15906,17031430700.0
845,17499,17031430300.0
846,35841,17031681100.0
847,32424,17031680500.0
848,47313,17031400800.0
849,47567,17031400500.0
850,56306,17031400400.0
851,16663,17031390300.0
852,21147,17031670300.0
853,47274,17031670200.0
854,34657,17031430200.0
855,45857,17031671300.0
856,58926,17031671600.0
857,18985,17031670100.0
